scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Agave demeesteriana,higher_taxon,genus,path_depth,1,10,10,Agave desmetiana,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Agave|Agave demeesteriana
Agrimonieae,higher_taxon,tribe,suffix,11,10,10,Acaena buchananii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Agrimonieae|Sanguisorbinae|Acaena|Acaena buchananii
Agrostemma,higher_taxon,genus,path_depth,1,10,10,Agrostemma githago,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Sileneae|Agrostemma|Agrostemma githago
Agrostis schraderiana,higher_taxon,genus,path_depth,1,10,10,Agrostis agrostiflora,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Agrostis|Agrostis schraderiana
Ailanthus,higher_taxon,genus,path_depth,1,10,10,Ailanthus altissima,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Simaroubaceae|Ailantheae|Ailanthus|Ailanthus altissima
Ajugeae,higher_taxon,tribe,suffix,5,10,10,Ajuga chamaepitys,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Ajugoideae|Ajugeae|Ajuginae|Ajuga|Ajuga chamaepitys
Akebia,higher_taxon,genus,path_depth,1,10,10,Akebia quinata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Lardizabalaceae|Lardizabaloideae|Akebia|Akebia quinata
Alchorneae,higher_taxon,tribe,suffix,1,10,10,Alchornea davidii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Acalyphoideae|Alchorneae|Alchorneinae|Alchornea|Alchornea davidii
Alluaudia,higher_taxon,genus,path_depth,3,10,10,Alluaudia ascendens,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Didiereaceae|Didiereoideae|Alluaudia|Alluaudia ascendens
Alnus,higher_taxon,genus,path_depth,8,10,10,Alnus alnobetula,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fagales|Betulaceae|Betuloideae|Alnus|Alnus alnobetula
Alonsoa,higher_taxon,genus,path_depth,1,10,10,Alonsoa caulialata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Hemimerideae|Alonsoa|Alonsoa meridionalis
Aloysia,higher_taxon,genus,path_depth,1,10,10,Aloysia citrodora,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Verbenaceae|Lantaneae|Aloysia|Aloysia citrodora
Alpagrostis setacea,higher_taxon,genus,path_depth,1,10,10,Agrostis curtisii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Alpagrostis|Alpagrostis setacea
Alsophila dealbata,higher_taxon,genus,path_depth,1,10,10,Cyathea dealbata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Cyatheales|Cyatheaceae|Alsophila|Alsophila dealbata
Alysseae,higher_taxon,tribe,suffix,12,10,10,Alyssoides utriculata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Alysseae|Alyssoides|Alyssoides utriculata
Alyxieae,higher_taxon,tribe,suffix,1,10,10,Alyxia ruscifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Rauvolfioideae|Alyxieae|Alyxiinae|Alyxia|Alyxia ruscifolia
Amarantheae,higher_taxon,tribe,suffix,11,10,10,Amaranthus albus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Amaranthaceae|Amaranthoideae|Amarantheae|Amaranthus|Amaranthus albus
Ampelopsideae,higher_taxon,tribe,suffix,1,10,10,Ampelopsis glandulosa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Vitales|Vitaceae|Vitoideae|Ampelopsideae|Ampelopsis|Ampelopsis glandulosa
Amsonieae,higher_taxon,tribe,suffix,3,10,10,Amsonia hubrichtii,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Rauvolfioideae|Amsonieae|Amsonia|Amsonia hubrichtii
Amygdaleae,higher_taxon,tribe,suffix,26,10,10,Prunus amygdalus,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Amygdaloideae|Amygdaleae|Prunus|Prunus amygdalus
Anarrhinum,higher_taxon,genus,path_depth,1,10,10,Anarrhinum bellidifolium,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Antirrhinoideae|Anarrhinum|Anarrhinum bellidifolium
Anastaticeae,higher_taxon,tribe,suffix,1,10,10,Lobularia maritima,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Anastaticeae|Lobularia|Lobularia maritima
Anchonieae,higher_taxon,tribe,suffix,4,10,10,Matthiola fruticulosa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Anchonieae|Matthiola|Matthiola fruticulosa
Andromedeae,higher_taxon,tribe,suffix,1,10,10,Andromeda polifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Ericaceae|Vaccinioideae|Andromedeae|Andromeda|Andromeda polifolia
Androsace,higher_taxon,genus,path_depth,19,10,10,Androsace adfinis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Androsace|Androsace adfinis
Angelonieae,higher_taxon,tribe,suffix,1,10,10,Angelonia salicariifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Gratioloideae|Angelonieae|Angelonia|Angelonia salicariifolia
Anisocampium niponicum,higher_taxon,genus,path_depth,1,10,10,Athyrium niponicum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Athyriaceae|Anisocampium|Anisocampium niponicum
